337	Уильям Уишер мл.	\N	\N	\N	2024-04-13 21:52:04.273158	\N
338	Уинстон Грум	\N	\N	\N	2024-04-13 21:53:07.315782	\N
339	Эрик Рот	\N	\N	\N	2024-04-13 21:53:07.339713	\N
340	Уэйлон Грин	\N	\N	\N	2024-04-13 21:53:41.124637	\N
341	Сэм Пекинпа	\N	\N	\N	2024-04-13 21:53:41.147922	\N
342	Рой Н. Сикнер	\N	\N	\N	2024-04-13 21:53:41.17	\N
343	Дж. Шеперд	\N	\N	\N	2024-04-13 21:54:39.384854	\N
344	Ли Браун	\N	\N	\N	2024-04-13 21:54:39.407944	\N
345	Боб Кларк	\N	\N	\N	2024-04-13 21:54:39.431417	\N
346	Кэмерон Кроу	\N	\N	\N	2024-04-13 21:55:11.414214	\N
347	Джин Уайлдер	\N	\N	\N	2024-04-13 21:55:40.339219	\N
348	Мэл Брукс	\N	\N	\N	2024-04-13 21:55:40.361322	\N
349	Мэри Шелли	\N	\N	\N	2024-04-13 21:55:40.385193	\N
350	Джилл Калтон	\N	\N	\N	2024-04-13 21:56:16.496954	\N
